MD Name,Clean Name
allegany,Allegany
anne_arundel,Anne Arundel
baltimore,Baltimore
baltimore_city,Baltimore City
calvert,Calvert
caroline,Caroline
carroll,Carroll
cecil,Cecil
charles,Charles
dorchester,Dorchester
frederick,Frederick
garrett,Garrett
harford,Harford
howard,Howard
kent,Kent
montgomery,Montgomery
prince_george_s,Prince Georges
queen_anne_s,Queen Annes
somerset,Somerset
st_mary_s,St Marys
talbot,Talbot
washington,Washington
wicomico,Wicomico
worcester,Worcester
